CD_CVM,TICKER,DENOM_SOCIAL,DENOM_COMERC,SETOR_ATIV,PF_PJ,CNPJ,DT_REG,DT_CONST,DT_CANCEL,MOTIVO_CANCEL,SIT_REG,DT_INI_SIT,SIT_EMISSOR,DT_INI_SIT_EMISSOR,CATEG_REG,DT_INI_CATEG,AUDITOR,CNPJ_AUDITOR,TP_ENDER,LOGRADOURO,COMPL,BAIRRO,CIDADE,UF,PAIS,CD_POSTAL,TEL,FAX,EMAIL,TP_RESP,RESP,DT_INI_RESP,LOGRADOURO_RESP,COMPL_RESP,BAIRRO_RESP,CIDADE_RESP,UF_RESP,PAIS_RESP,CEP_RESP,TEL_RESP,FAX_RESP,EMAIL_RESP,TP_MERC
167,,AEROFOTO CRUZEIRO SA,AEROFOTO CRUZEIRO,SERVICOS DIVERSOS,PJ,3.30372E+13,7/20/1977,,12/1/1992,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,12/1/1992,,,,,WALTER HEUER AUDITORES INDEPENDENTES,6.14114E+13,SEDE,"AV. ALMIRANTE FRONTIN, 381",,,RIO DE JANEIRO,RJ,BRASIL,,(21) 22905212,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,LEOPOLDINO C.DE AMORIM FILHO,7/20/1977,"AV. ALMIRANTE FRONTIN, 381",,,RIO DE JANEIRO,RJ,,21030000,(21) 2905212,,,BOLSA
175,,AGGS INDS GRAFICAS SA,AGGS INDS GRAFICAS,GRÁFICAS E EDITORAS,PJ,3.30588E+13,5/14/1971,,5/4/1987,ELISÃO POR INCORPORAÇÃO,CANCELADA,5/4/1987,,,,,GUILHERME HERZOG FILHO,33461520730,SEDE,EST DOS BANDEIRANTES 1700 BL A,,,RIO DE JANEIRO,RJ,BRASIL,,(21) 33420333,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,HELIO PAULO ROSA GONCALVES,5/14/1971,AV PRES WILSON 165/3 S 301-12,,,RIO DE JANEIRO,RJ,,20030000,(21) 2926116,,,BOLSA
183,,AGRALE SA,AGRALE,"Máquinas, Equipamentos, Veículos e Peças",PJ,8.86103E+13,7/20/1977,,6/26/2000,ATENDIMENTO AS NORMAS DA INSTR CVM 229/95,CANCELADA,6/26/2000,,,,,ARTHUR ANDERSEN BIEDERMANN A I,4.40382E+13,SEDE,ROD BR 116 KM 145 NR 15104,,SÃO CIRO,CAXIAS DO SUL,RS,BRASIL,,(54) 2291133,(54) 2291422,contabil@agrale.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,HUGO DOMINGOS ZATTERA,7/20/1977,"ROD BR 116 KM 145, 15104",,SÃO CIRO,SÃO PAULO,SP,,95055180,(54) 2291133,(0054) 2291422,juridico@agrale.com.br,BOLSA
191,,AGRILEASING SA ARREND MERC,AGRILEASING,ARRENDAMENTO MERCANTIL,PJ,8.8071E+13,1/24/1983,,9/30/1985,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,9/30/1985,,,,,,,SEDE,"RUA DOS ANDRADAS, 1261/ 3 AND.",,,PORTO ALEGRE,RS,BRASIL,,(0512) 2611344,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,OSVALDO BURGOS SCHIRMER,1/24/1983,"RUA DOS ANDRADAS, 1261/3 ANDAR",,,PORTO ALEGRE,RS,,90000000,(0512) 2611344,,,BALCÃO NÃO ORGANIZADO
205,,AGRO PASTORIL CARIRI SA CARIRISA,CARIRISA,"AGRICULTURA (AÇUCAR, ALCOOL E CANA)",PJ,9.37856E+12,7/20/1977,,8/9/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,8/9/2005,,,,,,,SEDE,RUA SEMEAO LEAL 150 SOBRELOJA,,CENTRO,CAMPINA GRANDE,PB,BRASIL,,(83) 3213690,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,ALTAMAR MIRANDA,7/20/1977,RUA GERALDO PORTO 160 CATOLE,,,CAMPINA GRANDE,PB,,58100000,(83) 3218336,,,BALCÃO NÃO ORGANIZADO
213,,AGROPECUARIA TAMAKAVY SA,TAMAKAVY,"AGRICULTURA (AÇUCAR, ALCOOL E CANA)",PJ,3.14372E+12,9/16/1983,,2/25/1988,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78,CANCELADA,2/25/1988,,,,,PAES DE MENEZES AUD INDEP SC,5.46404E+13,SEDE,FAZ TAMAKAVY S/Nº,,,SÃO FÉLIX DO ARAGUAIA,MT,BRASIL,,(11) 377657,,ricado@rmello.adv.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,DELPHIM NATARIO,9/16/1983,"RUA JACEGUAI, 496",,,SÃO PAULO,SP,,1315000,(11) 377657,,,BALCÃO NÃO ORGANIZADO
221,,AGRONORTE SA,AGRONORTE,"AGRICULTURA (AÇUCAR, ALCOOL E CANA)",PJ,2.14448E+13,7/20/1977,,12/20/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,12/20/2005,,,,,WALTER HEUER AUDITORES INDEPENDENTES,6.14114E+13,SEDE,AV AMAZONAS 7700 BAIRRO CABANA,,,BELO HORIZONTE,MG,BRASIL,,(31) 3331188,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,EZIO SOUZA DE DEUS JUNIOR,7/20/1977,"AV. AMAZONAS, 7700",,,BELO HORIZONTE,MG,,30510000,(31) 3339566,,,BALCÃO NÃO ORGANIZADO
248,,DANA-ALBARUS S.A. INDÚSTRIA E COMÉRCIO,DANA-ALBARUS S/A INDÚSTRIA E COMÉRCIO,"Máquinas, Equipamentos, Veículos e Peças",PJ,9.27581E+13,7/20/1977,7/10/1947,8/5/2005,ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02,CANCELADA,8/5/2005,,,,,CHARNESKI AUDITORES INDEPENDENTES,9.26473E+13,SEDE,"RUA RICARDO BRUNO ALBARUS, 201",,D. INDUSTRIAL,GRAVATAÍ,RS,BRASIL,,(51) 4893000,(51) 4893230,maria.garcia@dana.com,DIRETOR DE RELAÇÕES COM INVESTIDORES,PAULO ARMANDO BORN,7/20/1977,"RUA RICARDO BRUNO ALBARUS, 201",,D. INDUSTRIAL,GRAVATAÍ,RS,,94045400,(51  ) 4893000,(51  ) 4893230,paulo.born@dana.com,BOLSA
256,,ALCAN ALUMINIO DO BRASIL SA,ALCAN,METALURGIA E SIDERURGIA,PJ,6.05618E+13,11/11/1983,,7/28/1987,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,7/28/1987,,,,,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,AV PAULISTA 1106 11 A 15 ANDAR,,,SÃO PAULO,SP,BRASIL,,(11) 2520722,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SERGIO R.C.DE ALBUQUERQUE,11/11/1983,"RUA BOA VISTA, 185/5 ANDAR",,,SÃO PAULO,SP,,1014000,(11) 2390711,,,
264,,ALCOA ALUMINIO SA,ALCOA ALUMINIO,METALURGIA E SIDERURGIA,PJ,2.36377E+13,10/20/1981,,10/19/1993,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78,CANCELADA,10/19/1993,,,,,ARTHUR ANDERSEN BIEDERMANN A I,4.40382E+13,SEDE,AV MARIA COELHO AGUIAR 215 BLC,,,SÃO PAULO,SP,BRASIL,,(35) 5456376,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,RODRIGO THOMAZ SCOTTI MUZZI,10/20/1981,"AV MARIA COELHO AGUIAR,215BL.C",,,SÃO PAULO,SP,,5804000,(11) 5456376,,,
272,,ALFA NORDESTE SA INDUSTRIA DO VESTUARIO,ALFRED NORDESTE,TEXTIL E VESTUÁRIO,PJ,1.5168E+13,11/17/1980,,11/13/2007,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,11/13/2007,,,,,BOCK & CIA  AUDITORES S/C,8.77292E+13,SEDE,"RUA AGRARIO DE MENEZES, 15-B",6º ANDAR,SEDE,SALVADOR,BA,BRASIL,,(71) 2264251,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,MIGUEL SEHBE FILHO,11/17/1980,"RUA AGRARIO DE MENEZES, 15-B",,,SALVADOR,BA,,40000000,(71) 2264251,,,BALCÃO NÃO ORGANIZADO
280,,ALFRED SA COMERCIO DO VESTUARIO,LOJAS ALFRED,TEXTIL E VESTUÁRIO,PJ,9.26892E+13,1/22/1982,,8/9/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,8/9/2005,,,,,BOCK & CIA  AUDITORES S/C,8.77292E+13,SEDE,R MAL. FLORIANO 889,,CENTRO,CAXIAS DO SUL,RS,BRASIL,,(54) 2233066,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,CARLOS CASAGRANDE SEHBE,1/22/1982,"AV MAL. FLORIANO, 889",,CENTRO,CAXIAS DO SUL,RS,,95020370,(54) 2233066,(54) 2218655,,BALCÃO NÃO ORGANIZADO
302,,ALMEC INDUSTRIAS MECANICA SA,ALMEC,METALURGIA E SIDERURGIA,PJ,1.80124E+13,1/3/1975,,3/22/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,3/22/2005,,,,,,,SEDE,PÇA. DR. CARLOS 19 S/108,,CENTRO,MONTES CLAROS,MG,BRASIL,,(38) 2217444,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,ANDREA G. MISK DE FARIA,1/3/1975,"R.ALVARENGA PEIXOTO,295-2 AND.",,,BELO HORIZONTE,MG,,30000000,(31) 2217444,,,BALCÃO NÃO ORGANIZADO
310,,ALPART ALPA PARTICIPACOES SA,ALPART,EMP. ADM. PARTICIPAÇÕES,PJ,4.78487E+13,9/3/1982,,10/19/1989,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,10/19/1989,,,,,ETAE AUDITORES INDEPENDENTES,4.72073E+13,SEDE,AV REPUBLICA DO LIBANO 635,,,SÃO PAULO,SP,BRASIL,,(11) 8876622,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,HUMBERTO PAULO NAVARRO,9/3/1982,AV REPUBLICA DO LIBANO 635,,,SÃO PAULO,SP,,4501000,(11) 8876622,,,
329,,ALPINA BRASIL SA MAQ IMP AGRIC,ALPINA DO BRASIL,"Máquinas, Equipamentos, Veículos e Peças",PJ,8.78199E+13,8/20/1976,,8/9/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,8/9/2005,,,,,ROBERTO DREYFUSS & CIA SC,6.0815E+13,SEDE,RUA FRANCISCO CAMATTI 899,,TUPY,CAXIAS DO SUL,RS,BRASIL,,(54) 2217255,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,PAULO ROGERIO G DUTRA DIAS,8/20/1976,"RUA FRANCISCO CAMATTI, 899",,,CAXIAS DO SUL,RS,,95100000,(21) 7176464,,,BALCÃO NÃO ORGANIZADO
337,,ALPLAN SA IND COM CH MAD AGLOM,ALPLAN,"Construção Civil, Mat. Constr. e Decoração",PJ,4.97055E+13,12/2/1982,,8/2/1989,ELISÃO POR INCORPORAÇÃO,CANCELADA,8/2/1989,,,,,KPMG AUDITORES INDEPENDENTES,5.77552E+13,SEDE,AV PAULISTA 7/8 ANDAR,,,SÃO PAULO,SP,BRASIL,,(11) 2893033,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,PAULO SETUBAL NETO,12/2/1982,AVENIDA PAULISTA 7 13 ANDAR,,,SÃO PAULO,SP,,1311000,(11) 2897396,,,BALCÃO NÃO ORGANIZADO
345,,ALUMINIO EXTRUSAO LAMINACAO,ASA ALUMINIO,EMP. ADM. PARTICIPAÇÕES,PJ,1.08869E+13,12/12/1979,,1/30/1997,ELISÃO POR LIQUIDAÇÃO,CANCELADA,1/30/1997,,,,,"BKR - LOPES, MACHADO AUDITORES",4.02626E+13,SEDE,R VISCONDE DE NITEROI 354 3AND,,,RIO DE JANEIRO,RJ,BRASIL,,(21) 22172246,(21) 25330059,,DIRETOR DE RELAÇÕES COM INVESTIDORES,HEITOR LOPES PINTO(LIQUIDANTE),12/12/1979,"R.VISC.NITEROI,354-3 AND",,,RIO DE JANEIRO,RJ,,20941000,(21) 2644986,,,BALCÃO NÃO ORGANIZADO
353,,ALUSUD ALUMINIO DO SUL SA,ALUSUD,METALURGIA E SIDERURGIA,PJ,8.29986E+13,12/17/1975,,5/15/1987,ELISÃO POR INCORPORAÇÃO,CANCELADA,5/15/1987,,,,,BIANCHESSI & CIA AUDITORES,9.266E+13,SEDE,"BR 101,KM 343",,,TUBARÃO,SC,BRASIL,,(0486) 221422,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,ANTONIO PAULO BROGNOLI,12/17/1975,BR 101 KM 343 BAIRRO S CRISTOV,,,TUBARÃO,SC,,88700000,(0486) 221422,,,BALCÃO NÃO ORGANIZADO
361,,AMADEO ROSSI SA MET MUNICOES,AMADEO ROSSI SA METALÚRGICA E MUNIÇÕES,METALURGIA E SIDERURGIA,PJ,9.67351E+13,12/8/1971,,9/18/2002,ATENDIMENTO AS NORMAS DA INSTR CVM 229/95,CANCELADA,9/18/2002,,,,,MARTINELLI AUDITORES,7.93705E+13,SEDE,"RUA AMAMDEO ROSSI , 143",,CENTRO,SÃO LEOPOLDO,RS,BRASIL,,(51) 5902222,(51) 5903101,rossi@planet.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,CLAUDIO ANTONIO ROSSI,12/8/1971,"RUA AMADEO ROSSI, 143",,CENTRO,SÃO LEOPOLDO,RS,,93030220,(51) 5902222,(51) 5903101,claudio@rossi.com.br,BOLSA
370,,AMAZONAS PRODS P CALCADOS SA,AMAZONAS CALCADOS,TEXTIL E VESTUÁRIO,PJ,4.79597E+13,2/28/1983,,6/15/1988,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,6/15/1988,,,,,ADNER AUDITORIA E PLANEJAMENTO S/S,6.07454E+13,SEDE,"AV.RIO BRANCO, 745",,,FRANCA,SP,BRASIL,,(16) 7241666,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,EDUARDO BELLOTI FILHO,2/28/1983,"AV.RIO BRANCO, 745",,,FRANCA,SP,,14400000,(16) 7241666,,,BALCÃO NÃO ORGANIZADO
388,,AMERICA DO SUL LEAS SA ARR MER,AMER DO SUL LEASING,ARRENDAMENTO MERCANTIL,PJ,4.40817E+13,9/28/1982,10/24/1974,3/2/2000,ATENDIMENTO AS NORMAS DA INSTR CVM 229/95,CANCELADA,3/2/2000,,,,,RUHTRA S/C,3.30173E+13,SEDE,AV PAULISTA 688/6º ANDAR,,BELA VISTA,SÃO PAULO,SP,BRASIL,,(11) 2833288,(11) 2883911,,DIRETOR DE RELAÇÕES COM INVESTIDORES,ORIDIO KIYOSHI SHIMIZU,9/28/1982,"AV.PAULISTA, 688 - 6 ANDAR",,BELA VISTA,SÃO PAULO,SP,,1310909,(11) 2833288,(11) 2883911,leasul@sti.com.br,BOLSA
396,,ANCORA COMERCIAL SA,ANCORA COMERCIAL,"Máquinas, Equipamentos, Veículos e Peças",PJ,7.64917E+13,7/20/1977,,5/26/1989,ELISÃO POR INCORPORAÇÃO,CANCELADA,5/26/1989,,,,,BIANCHESSI & CIA AUDITORES,9.266E+13,SEDE,"RUA 15 DE NOVEMBRO, 2333",,,CURITIBA,PR,BRASIL,,(41) 2626111,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,LANDIVIO TSCHOEKE,7/20/1977,R BOA VISTA 185/5 AGS BCO ITAU,,,SÃO PAULO,SP,,1014000,(11) 2390711,,,BOLSA
400,,ANDERSON CLAYTON SA IND E COM,ANDERSON CLAYTON,ALIMENTOS,PJ,6.05032E+13,7/20/1977,,12/23/1987,ELISÃO POR INCORPORAÇÃO,CANCELADA,12/23/1987,,,,,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,"AV.MARIA C.AGUIAR,215-B.C-7/8",,,SÃO PAULO,SP,BRASIL,,(11) 5454808,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,WALCYR VILLAS BOAS,7/20/1977,AV MARIA C AGUIAR 215 BL C 7 8,,,SÃO PAULO,SP,,5804000,(11) 5454808,,,BOLSA
426,,APOLO PRODUTOS DE ACO SA,APOLO,METALURGIA E SIDERURGIA,PJ,3.30171E+13,7/9/1971,,10/30/1990,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78,CANCELADA,10/30/1990,,,,,"BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S",6.26504E+13,SEDE,RUA DO PASSEIO 70 8 ANDAR,,,RIO DE JANEIRO,RJ,BRASIL,,(21) 22923140,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,CID GABRIEL FERREIRA SAMPAIO,7/9/1971,"RUA DO PASSEIO,70-7/8 ANDARES",,,RIO DE JANEIRO,RJ,,20021000,(21) 2923140,,,BOLSA
434,,ARACRUZ CELULOSE S/A,ARACRUZ CELULOSE SA,PAPEL E CELULOSE,PJ,4.21575E+13,2/5/1980,4/24/1972,12/31/2009,ELISÃO POR INCORPORAÇÃO,CANCELADA,12/31/2009,,,Categoria A,1/1/2010,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES,4.99286E+13,SEDE,"CAM. BARRA DO RIACHO, S/Nº - K",M 25,BARRA DO RIACHO,ARACRUZ,ES,BRASIL,,(27) 32702442,(27) 32702590,mbl@aracruz.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,MARCOS GRODETZKY,11/17/2008,"AV. BRIG FARIA LIMA, 2277",4º ANDAR,JD. PAULISTANO,SÃO PAULO,SP,,1452000,(11) 33014131,(11) 33014274,INVEST@ARACRUZ.COM.BR,BOLSA
442,,ARAGUAIA CIA INDL DE PROD ALIM,ARAGUAIA,ALIMENTOS,PJ,2.51779E+12,11/29/1973,,6/5/1987,CANCELAMENTO OFICIO COM BASE INSTR. CVM 29/84,CANCELADA,6/5/1987,,,,,ALMADA RODRIGUES & AUD ASSOC,3.40536E+13,SEDE,"AV GOIAS, 2525",,,GURUPI,TO,BRASIL,,(62) 8512075,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,LEONILDO DE ARAUJO PINTO,11/29/1973,"RUA BACOPARI, 444 CITY BOACAVA",,,SÃO PAULO,SP,,5470000,(11) 2273822,,,BALCÃO NÃO ORGANIZADO
485,,ARAFERTIL SA,ARAFERTIL,Petroquímicos e Borracha,PJ,1.78051E+13,8/26/1982,,1/13/1989,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,1/13/1989,,,,,SOTEC AUD AUDITORES INDEP SC,6.06144E+13,SEDE,USINA PERICLES NESTOR LOCCHI,,,ARAXÁ,MG,BRASIL,,(34) 6613100,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,HENRIQUE SBRANA FILHO,8/26/1982,AV BRIG FARIA LIMA 1815 10 AND,,,SÃO PAULO,SP,,1451000,(11) 2129311,,,BALCÃO NÃO ORGANIZADO
493,,BIRMANN SA COM. E EMPREEND.,BIRMANN,"Construção Civil, Mat. Constr. e Decoração",PJ,4.93415E+13,8/23/1982,,11/3/1989,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,11/3/1989,,,,,ALEXANDRE MOREIRA DE SOUSA,145211800,SEDE,AV PAULISTA 1294/22  CJ A B,,,SÃO PAULO,SP,BRASIL,,(11) 2890077,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,RAFAEL BENASAYAG BIRMANN,8/23/1982,AV PAULISTA 1294/22 CJ A B,,,SÃO PAULO,SP,,1310000,(11) 2890077,,,BALCÃO NÃO ORGANIZADO
